configuration	Term	J	energy
"1s.9p"	"1P*"	"1"	"[24.41988963744]"	
"1s.10s"	"3S"	"1"	"[24.44289372042]"	
"1s.10s"	"1S"	"0"	"[24.44746034222]"	
"1s.10p"	"3P*"	"2"	"[24.44947721493]"	
"1s.10p"	"3P*"	"1"	"[24.44947728263]"	
"1s.10p"	"3P*"	"0"	"[24.44947811498]"	
"1s.10d"	"3D"	"3"	"[24.451274135127]"	
"1s.10d"	"3D"	"2"	"[24.451274145530]"	
"1s.10d"	"3D"	"1"	"[24.451274291635]"	
"1s.10d"	"1D"	"2"	"[24.4512944275430]"	
"1s.10f"	"3F*"	"3"	"[24.4513393678505]"	
"1s.10f"	"3F*"	"4"	"[24.4513394043085]"	
"1s.10f"	"3F*"	"2"	"[24.4513394726070]"	
"1s.10f"	"1F*"	"3"	"[24.4513395841480]"	
"1s.10g"	"3G"	"4"	"[24.45134781888615]"	
"1s.10g"	"3G"	"5"	"[24.45134786170360]"	
"1s.10g"	"3G"	"3"	"[24.45134790073097]"	
"1s.10g"	"1G"	"4"	"[24.45134792713613]"	
"1s.10h"	"3H*"	"5"	"[24.45134986834879]"	
"1s.10h"	"3H*"	"6"	"[24.45134989631256]"	
"1s.10h"	"3H*"	"4"	"[24.45134992169262]"	
"1s.10h"	"1H*"	"5"	"[24.45134994063270]"	
"1s.10i"	"3I"	"6"	"[24.45135052860618]"	
"1s.10i"	"3I"	"7"	"[24.45135054821986]"	
"1s.10i"	"3I"	"5"	"[24.45135056609144]"	
"1s.10i"	"1I"	"6"	"[24.45135058029048]"	
"1s.10k"	"3K*"	"7"	"[24.45135078680538]"	
"1s.10k"	"3K*"	"8"	"[24.45135080130905]"	
"1s.10k"	"3K*"	"6"	"[24.45135081459346]"	
"1s.10k"	"1K*"	"7"	"[24.45135082559359]"	
"1s.10p"	"1P*"	"1"	"[24.45167878250]"	
"1s.11p"	"1P*"	"1"	"[24.475209]"	
"1s.12p"	"1P*"	"1"	"[24.493108]"	
"1s.13p"	"1P*"	"1"	"[24.507043]"	
"1s.14p"	"1P*"	"1"	"[24.518101]"	
"1s.15p"	"1P*"	"1"	"[24.527024]"
